,comm_id,parent_id
0,20206190,453482
1,20201178,453512
2,20202066,20201178
3,20196440,453314
4,20196564,453314
5,20196812,453314
6,20199058,20196812
7,20202962,20199058
8,20197426,453314
9,20198630,453314
10,20198958,453314
11,20199416,453314
12,20203786,453314
13,20203788,453314
14,20195644,453290
15,20195648,20195644
16,20195678,20195648
17,20195688,20195678
18,20196018,20195688
19,20191498,453156
20,20194106,20191498
21,20191504,453156
22,20191506,453156
23,20191596,20191506
24,20194738,453156
25,20194950,20194738
26,20195542,20194950
27,20191966,452894
28,20194716,20191966
29,20193064,452894
30,20194732,20193064
31,20193472,452894
32,20194752,20193472
33,20202128,20193472
34,20193712,452894
35,20194754,20193712
36,20193802,452894
37,20194766,20193802
38,20195732,20193802
39,20199628,20195732
40,20194146,452894
41,20194772,20194146
42,20197032,452894
43,20189712,452978
44,20189154,453074
45,20189902,20189154
46,20193074,20189902
47,20193300,20193074
48,20192624,20189154
49,20194432,453074
50,20195876,453074
51,20188778,453044
52,20189160,453044
53,20189476,453044
54,20189958,20189476
55,20190062,20189958
56,20199756,20189958
57,20185934,452914
58,20186078,20185934
59,20189096,452914
60,20189106,20189096
61,20187250,452954
62,20199456,452954
63,20183416,452612
64,20183482,452612
65,20183716,20183482
66,20186910,20183716
67,20192390,20186910
68,20192406,20192390
69,20184354,452612
70,20180754,450732
71,20181444,20180754
72,20180850,450732
73,20189504,450732
74,20189938,20189504
75,20179288,452446
76,20179354,452446
77,20181924,452446
78,20182390,20181924
79,20182422,452446
80,20183742,20182422
81,20184668,20183742
82,20183980,20182422
83,20186648,452446
84,20189908,20186648
85,20176116,452622
86,20176136,20176116
87,20176432,20176116
88,20177218,20176116
89,20177256,20177218
90,20178118,20177256
91,20177874,20176116
92,20178096,20176116
93,20176274,452622
94,20176738,20176274
95,20178072,20176274
96,20177114,452622
97,20178022,20177114
98,20179060,20178022
99,20179446,20179060
100,20179852,20179446
101,20180082,20179852
102,20177192,452622
103,20177208,20177192
104,20177264,20177208
105,20177442,20177264
106,20177430,20177208
107,20180542,20177208
108,20180976,20180542
109,20177666,20177192
110,20179194,20177192
111,20177386,452622
112,20179606,452622
113,20180096,20179606
114,20180108,20180096
115,20180556,20179606
116,20181182,20180556
117,20174336,452392
118,20176336,452392
119,20177062,452392
120,20180230,20177062
121,20161686,452142
122,20162268,20161686
123,20164374,20162268
124,20165464,20164374
125,20165480,20165464
126,20165596,20165480
127,20165724,20165596
128,20165738,20165724
129,20166578,20162268
130,20166590,20166578
131,20166638,20166590
132,20167024,20166638
133,20167118,20167024
134,20176430,20167118
135,20162376,20161686
136,20163054,20162376
137,20161786,452142
138,20161874,20161786
139,20161900,20161874
140,20161968,20161900
141,20162026,20161968
142,20164484,20162026
143,20164828,20164484
144,20166456,20164828
145,20166496,20166456
146,20164920,20162026
147,20166394,20164920
148,20162710,20161874
149,20165292,20161874
150,20174312,20161874
151,20161924,20161786
152,20161788,452142
153,20162514,20161788
154,20163084,20162514
155,20163500,20163084
156,20166664,20163084
157,20169652,20166664
158,20166446,20162514
159,20166488,20166446
160,20166586,20166488
161,20166790,20166586
162,20166646,20166488
163,20166738,20166646
164,20166774,20166646
165,20169942,20162514
166,20166240,20161788
167,20167340,20166240
168,20177590,20167340
169,20161858,452142
170,20163058,20161858
171,20164748,20163058
172,20166042,20164748
173,20166086,20166042
174,20161908,452142
175,20162506,20161908
176,20165330,20162506
177,20161984,452142
178,20162074,20161984
179,20162152,20162074
180,20165300,20162152
181,20162278,452142
182,20162986,20162278
183,20163230,20162986
184,20163302,20162278
185,20164454,20163302
186,20163074,452142
187,20163122,452142
188,20164848,20163122
189,20166676,20164848
190,20165036,20163122
191,20163218,452142
192,20163224,452142
193,20163330,20163224
194,20179866,20163224
195,20164078,452142
196,20164584,20164078
197,20165398,20164584
198,20165432,20164584
199,20166674,20165432
200,20166756,20166674
201,20166786,20166756
202,20166856,20166786
203,20167166,20166856
204,20167264,20167166
205,20167294,20167264
206,20167350,20167294
207,20167374,20167350
208,20164646,452142
209,20164766,20164646
210,20165066,452142
211,20165864,20165066
212,20165870,20165066
213,20166932,20165870
214,20167426,20166932
215,20167616,20167426
216,20166690,20165066
217,20166892,20166690
218,20167814,20165066
219,20165102,452142
220,20165238,452142
221,20165482,20165238
222,20165514,20165482
223,20165586,20165514
224,20165562,452142
225,20165588,452142
226,20165622,20165588
227,20165748,20165622
228,20166132,20165748
229,20165744,20165588
230,20165762,20165744
231,20165808,20165762
232,20165640,452142
233,20165750,20165640
234,20166214,20165640
235,20166228,452142
236,20166682,20166228
237,20167450,20166682
238,20167904,20167450
239,20187490,452142
240,20188854,20187490
241,20157624,451998
242,20158062,20157624
243,20158350,20158062
244,20158954,20158350
245,20160568,20158954
246,20160858,20160568
247,20161562,20160568
248,20158170,20157624
249,20162054,20157624
250,20162184,20162054
251,20157718,451998
252,20158524,20157718
253,20158772,20157718
254,20158986,20157718
255,20159094,451998
256,20159882,20159094
257,20162866,451998
258,20156648,451912
259,20157712,20156648
260,20158396,451912
261,20151976,451248
262,20153490,20151976
263,20152796,451248
264,20152938,20152796
265,20153168,20152938
266,20153654,20153168
267,20153672,20153654
268,20154980,20153672
269,20156772,20154980
270,20156902,20156772
271,20157352,20156902
272,20157412,20157352
273,20157122,20156772
274,20153852,20152796
275,20154110,20153852
276,20157324,20152796
277,20154560,451248
278,20154730,20154560
279,20154976,451248
280,20155236,451248
281,20156438,451248
282,20156574,20156438
283,20157032,20156574
284,20179674,451248
285,20156936,449514
286,20152190,451542
287,20152634,20152190
288,20152898,451542
289,20153110,451542
290,20154722,451542
291,20154802,20154722
292,20150914,450376
293,20151074,20150914
294,20151412,20151074
295,20153556,20151412
296,20153692,20153556
297,20154264,20153556
298,20151802,20151074
299,20152780,20151802
300,20151834,20151074
301,20151382,450376
302,20151414,20151382
303,20151432,20151414
304,20154768,20151414
305,20163814,20154768
306,20151430,20151382
307,20151446,20151430
308,20151554,20151446
309,20151586,20151446
310,20151760,20151586
311,20151918,20151586
312,20152236,20151586
313,20153178,20152236
314,20170094,20151382
315,20151790,450376
316,20152126,450376
317,20152790,20152126
318,20152684,450376
319,20152840,20152684
320,20163826,20152840
321,20154986,20152684
322,20155514,20154986
323,20163838,20155514
324,20170702,20163838
325,20177788,20170702
326,20177848,20177788
327,20153252,450376
328,20154276,450376
329,20155122,20154276
330,20155124,20155122
331,20185030,20154276
332,20202318,20185030
333,20155084,450376
334,20155530,20155084
335,20155550,20155530
336,20201728,20155084
337,20203748,20201728
338,20155744,450376
339,20158106,450376
340,20170150,20158106
341,20180562,20170150
342,20158318,450376
343,20177806,450376
344,20202340,20177806
345,20150022,451634
346,20159588,20150022
347,20170410,20150022
348,20170412,20150022
349,20150026,451634
350,20154308,20150026
351,20150642,451634
352,20153206,20150642
353,20160548,20153206
354,20153414,451634
355,20170404,451634
356,20146484,451296
357,20147252,20146484
358,20147362,20147252
359,20144948,450796
360,20144978,20144948
361,20145398,20144948
362,20145754,20145398
363,20149530,20145754
364,20154072,20149530
365,20145604,20144948
366,20152914,20145604
367,20145660,450796
368,20146256,20145660
369,20145734,450796
370,20147274,20145734
371,20147816,20147274
372,20148438,20147816
373,20145900,450796
374,20146200,20145900
375,20146678,20145900
376,20147068,450796
377,20147350,20147068
378,20147912,20147350
379,20148458,20147912
380,20148494,20148458
381,20148718,20147912
382,20149974,20148718
383,20150108,20149974
384,20150270,20150108
385,20150840,20150270
386,20151526,20150108
387,20151828,20151526
388,20152710,20151828
389,20152778,20152710
390,20152948,20152710
391,20155154,20152948
392,20152250,20151526
393,20150842,20149974
394,20148388,20147068
395,20148540,20148388
396,20148736,20148540
397,20150144,20148736
398,20152930,20150144
399,20156312,20152930
400,20157028,20156312
401,20148910,20148540
402,20149190,20148540
403,20150198,20149190
404,20152758,20150198
405,20147230,450796
406,20147830,20147230
407,20148508,20147230
408,20167154,20148508
409,20167674,20167154
410,20168028,20167674
411,20147286,450796
412,20147844,20147286
413,20148322,450796
414,20148474,20148322
415,20148594,20148474
416,20148774,20148594
417,20149040,450796
418,20149522,20149040
419,20149648,450796
420,20150030,450796
421,20131564,451070
422,20131588,451070
423,20131598,20131588
424,20131620,451070
425,20132352,20131620
426,20132778,20132352
427,20134594,20132778
428,20134992,20132352
429,20129590,451008
430,20152842,450354
431,20129842,450870
432,20123734,450850
433,20124520,20123734
434,20124886,20124520
435,20124990,20124886
436,20126798,20123734
437,20127958,20126798
438,20129968,20127958
439,20132556,20129968
440,20127152,450850
441,20127588,20127152
442,20150142,450850
443,20150160,20150142
444,20122852,450314
445,20149800,20122852
446,20122934,450314
447,20123234,20122934
448,20185802,20122934
449,20123150,450314
450,20123172,450314
451,20124316,20123172
452,20124482,20124316
453,20125178,20124482
454,20126948,20125178
455,20125262,20123172
456,20123492,450314
457,20127586,450314
458,20127636,20127586
459,20127658,20127636
460,20123070,450798
461,20123754,20123070
462,20189068,20123754
463,20120944,450760
464,20123940,20120944
465,20124222,20123940
466,20124428,20124222
467,20124466,20124428
468,20124498,20124466
469,20124518,20124428
470,20124446,20124222
471,20124744,20124446
472,20124420,20123940
473,20124474,20124420
474,20124548,20124474
475,20124576,20124548
476,20121024,450760
477,20123334,20121024
478,20121058,450760
479,20121556,20121058
480,20121908,450760
481,20121998,20121908
482,20122296,20121998
483,20122312,20122296
484,20122436,20122312
485,20123360,20122436
486,20129112,20123360
487,20129160,20129112
488,20142810,20129160
489,20123402,20122296
490,20125596,20123402
491,20122440,20121998
492,20122466,20122440
493,20122716,20122466
494,20123326,20122440
495,20122944,450760
496,20123416,20122944
497,20123512,450760
498,20124812,450760
499,20125024,20124812
500,20125310,20125024
501,20125378,20125310
502,20125562,20125378
503,20125560,20125310
504,20127488,20125560
505,20133624,20127488
506,20133664,20133624
507,20133960,20127488
508,20128962,450760
509,20128998,450760
510,20129086,20128998
511,20129174,20129086
512,20119624,446726
513,20119658,20119624
514,20123002,446726
515,20126234,446726
516,20130100,446726
517,20130106,20130100
518,20130520,20130106
519,20117148,450500
520,20118110,450500
521,20119728,20118110
522,20148240,20118110
523,20119120,450500
524,20165474,450500
