200,20162506,sergeevii123,1.0
201,20165330,nafikovr,1.0
202,20161984,Hardcoin,1.0
203,20162074,sergeevii123,1.0
204,20162152,Hardcoin,1.0
205,20165300,nafikovr,1.0
206,20162278,IT_Rebel,1.0
207,20162986,ClearAirTurbulence,1.0
208,20163230,radiolok,1.0
209,20163302,vorphalack,1.0
210,20164454,Hashinger,1.0
211,20163074,Ramm,1.0
212,20163122,izobr,1.0
213,20164848,prostofilya,1.0
214,20166676,saboteur_kiev,1.0
215,20165036,algotrader2013,1.0
216,20163218,maiden666,1.0
217,20163224,Sabubu,1.0
218,20163330,WHATrushka,1.0
219,20179866,kwardakov,1.0
220,20164078,9660,1.0
221,20164584,s37,1.0
222,20165398,9660,1.0
223,20165432,bobermai,1.0
224,20166674,s37,1.0
225,20166756,9660,1.0
226,20166786,s37,1.0
227,20166856,9660,1.0
228,20167166,s37,1.0
229,20167264,9660,1.0
230,20167294,s37,1.0
231,20167350,9660,1.0
232,20167374,s37,1.0
233,20164646,markmariner,1.0
234,20164766,Hashinger,1.0
235,20165066,Big_Shark,1.0
236,20165864,namikiri,1.0
237,20165870,balamutang,1.0
238,20166932,hokum13,1.0
239,20167426,balamutang,1.0
240,20167616,hokum13,1.0
241,20166690,s37,1.0
242,20166892,Big_Shark,1.0
243,20167814,yokotoka,1.0
244,20165102,dariaamir,1.0
245,20165238,mOlind,1.0
246,20165482,Ramm,1.0
247,20165514,mOlind,1.0
248,20165586,Ramm,1.0
249,20165562,Leon010203,1.0
250,20165588,valis,1.0
251,20165622,Big_Shark,1.0
252,20165748,Ramm,1.0
253,20166132,Big_Shark,1.0
254,20165744,Ramm,1.0
255,20165762,balamutang,1.0
256,20165808,Ramm,1.0
257,20165640,balamutang,1.0
258,20165750,Ramm,1.0
259,20166214,PavelBelyaev,1.0
260,20166228,blind_oracle,1.0
261,20166682,Vodochnik,1.0
262,20167450,balamutang,1.0
263,20167904,Vodochnik,1.0
264,20187490,elephantum,1.0
265,20188854,sergeevii123,1.0
266,451998,bsoo,0.0
267,20157624,kagarich,1.0
268,20158062,nomadmoon,1.0
269,20158350,kagarich,1.0
270,20158954,EvokSinister,1.0
271,20160568,kagarich,1.0
272,20160858,bsoo,1.0
273,20161562,I-denis,1.0
274,20158170,sim3x,1.0
275,20162054,Skigh,1.0
276,20162184,kagarich,1.0
277,20157718,Estee,1.0
278,20158524,bsoo,1.0
279,20158772,saege5b,1.0
280,20158986,webhamster,1.0
281,20159094,da0c,1.0
282,20159882,bsoo,1.0
283,20162866,worldmind,1.0
284,451912,MaxRokatansky,0.0
285,20156648,nrgian,1.0
286,20157712,apapacy,1.0
287,20158396,apapacy,1.0
288,451248,tEarth,0.0
289,20151976,dimkss,1.0
290,20153490,riky,1.0
291,20152796,vortupin,1.0
292,20152938,vedenin1980,1.0
293,20153168,vortupin,1.0
294,20153654,balexa,1.0
295,20153672,vortupin,1.0
296,20154980,balexa,1.0
297,20156772,vortupin,1.0
298,20156902,roryorangepants,1.0
299,20157352,vortupin,1.0
300,20157412,roryorangepants,1.0
301,20157122,balexa,1.0
302,20153852,pyrk2142,1.0
303,20154110,dimonoid,1.0
304,20157324,afejie4,1.0
305,20154560,Harbour,1.0
